workload_name,batch,input_width,input_height,input_channel,f1_kernel,f1_multiplier_or_output_channel,f1_stride,is_f1_depthwise,f1_post_op,f2_kernel,f2_multiplier_or_output_channel,f2_stride,is_f2_depthwise,f2_post_op,is_block
mv1_1,1,112,112,32,3,1,1,1,,1,64,1,0,,0
mv1_2,1,112,112,64,3,1,2,1,,1,128,1,0,,0
mv1_3,1,56,56,128,3,1,1,1,,1,128,1,0,,0
mv1_4,1,56,56,128,3,1,2,1,,1,256,1,0,,0
mv1_5,1,28,28,256,3,1,1,1,,1,256,1,0,,0
mv1_6,1,28,28,256,3,1,2,1,,1,512,1,0,,0
mv1_7-11,1,14,14,512,3,1,1,1,,1,512,1,0,,0
mv1_12,1,14,14,512,3,1,2,1,,1,1024,1,0,,0
mv1_13,1,7,7,1024,3,1,1,1,,1,1024,1,0,,0
mv2_1,1,112,112,32,3,1,1,1,,1,16,1,0,,0
mv2_2_1,1,112,112,96,3,1,2,1,,1,24,1,0,,0
mv2_2_2,1,56,56,144,3,1,1,1,,1,24,1,0,,0
mv2_3_1,1,56,56,144,3,1,2,1,,1,32,1,0,,0
mv2_3_2,1,28,28,192,3,1,1,1,,1,32,1,0,,0
mv2_4_1,1,28,28,192,3,1,2,1,,1,64,1,0,,0
mv2_4_2,1,14,14,384,3,1,1,1,,1,64,1,0,,0
mv2_5_1,1,14,14,384,3,1,1,1,,1,96,1,0,,0
mv2_5_2,1,14,14,576,3,1,1,1,,1,96,1,0,,0
mv2_6_1,1,14,14,576,3,1,2,1,,1,160,1,0,,0
mv2_6_2,1,7,7,960,3,1,1,1,,1,160,1,0,,0
mv2_7,1,7,7,960,3,1,1,1,,1,320,1,0,,0
mna1_1,1,112,112,32,3,1,1,1,,1,16,1,0,,0
mna1_2_1,1,112,112,96,3,1,2,1,,1,24,1,0,,0
mna1_2_2,1,56,56,144,3,1,1,1,,1,24,1,0,,0
mna1_4_1,1,28,28,240,3,1,2,1,,1,80,1,0,,0
mna1_4_2,1,14,14,480,3,1,1,1,,1,80,1,0,,0
mna1_7,1,7,7,960,3,1,1,1,,1,320,1,0,,0
